Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SWVJ;Fazenda São Judas Tadeu;COMODORO;MT;"059°57'02""W";"13°35'53""S";475;VFR;800;18
SSWK;Fazenda Cuelhambi;ANGÉLICA;MS;"054°04'07,7""W";"21°59'53,5""S";0;VFR;900;18
SJXG;Fazenda Agrovás;SÃO FÉLIX DO ARAGUAIA;MT;"052°24'41""W";"11°30'46""S";336;VFR;1199;30
SWMG;Margom;ÁGUA FRIA DE GOIÁS;GO;"047°34'46""W";"14°52'11""S";1100;VFR;700;20
SDNQ;Fazenda Água Limpa;SENADOR GUIOMARD;AC;"067°29'28""W";"09°58'50""S";197;VFR;950;18
SJDM;Fazenda Jarinã;PEIXOTO DE AZEVEDO;MT;"053°35'09""W";"10°19'31""S";339;VFR;1060;25
SWTZ;Fazenda Santo Antônio - Zampieri;RIBAS DO RIO PARDO;MS;"053°32'08""W";"20°44'21""S";402;VFR;800;18
SJAR;Fazenda Araçatuba;NOVA CRIXÁS;GO;"050°24'40""W";"14°31'48""S";298;VFR;800;18
SIOT;Fazenda Santa Vergínia;SANTA RITA DO PARDO;MS;"052°24'26""W";"21°29'17""S";318;VFR;1550;23
SNQJ;Fazenda Aerovilas;DIVINÓPOLIS;MG;"044°48'18,8""W";"20°14'33,6""S";847;VFR;890;23
SJCQ;Fazenda Serra Azul;BAIXA GRANDE;BA;"040°02'59""W";"11°56'08""S";343;VFR;1500;23
SNRQ;Porto Rico;JACAREACANGA;PA;"057°22'26,2""W";"06°06'19,8""S";101;VFR;980;18
SIXU;Fazenda Bahia;PEDRA PRETA;MT;"054°04'17""W";"16°55'33""S";766;;1000;23
SJPU;Clube de Ultraleves do Piauí;TERESINA;PI;"042°43'07""W";"05°01'53""S";140;VFR;250;15
SWUR;Fazenda Ressaca;CÁCERES;MT;"057°42'20""W";"16°11'19""S";128;VFR;1200;18
SIAN;Clube CÉU;RIO DE JANEIRO;RJ;"043°39'34,3""W";"22°57'40,8""S";15;VFR;750;20
SWZL;Base Aeroverde;RIO VERDE;GO;"050°58'06,7""W";"17°44'30""S";860;VFR;700;18
